session_id,customer_id,speaker_id,speaker,content,attachments,created_at
01KNW5KNWZRK16YJXQ803N4ADZ,,929e0b2208ffc52116437cabb7bc73ab,AGENT,ようこそ！私は株式会社クレッセントのアシスタント、ゲッペイと申します。ライブ配信などで活用できるVolu☆ME!や、業界最高水準のモーションキャプチャシステムViconについてご紹介できます。,,2026-04-11 01:04:28.093345+08:00
01KNW6556PNESGSSJ1C4BZWPD9,,5ad4a8f8d50ab344585468988b5aa3dd,AGENT,ゲッペイと申します。株式会社クレッセントのアシスタントです。 Viconや2026年最新スタジオにご興味はございませんか？,,2026-04-11 01:13:41.903223+08:00
01KNW8QN17E0XWHMP2NB6H1DTR,,617607bf8ec437d931c7beb368ec5b20,AGENT,こんにちは！私、株式会社クレッセントのアシスタント、ゲッペイと申します。ライブ配信などで活用できるVolu☆ME!や、業界最高水準のモーションキャプチャシステムViconについてご紹介できます。,,2026-04-11 01:58:46.080203+08:00
01KNWEM9JQ82BZBKRFGD6FFB9V,,1af6d682280c1c25dfc5bdc1edcff4a3,AGENT,株式会社クレッセントのアシスタント、月餅と申します。ライブ配信などで活用できるVolu☆ME!と、業界最高水準のモーションキャプチャシステムViconにご興味はありますでしょうか？,,2026-04-11 03:41:48.751977+08:00
01KNWK3G15AYSA56Q40X3KY981,,88dee3e5bddae2c7a43a782594e486b3,AGENT,皆様、こんにちは！ 株式会社クレッセントのゲッペイと申します。ライブ配信などで活用できるVolu☆ME!と業界最高水準のモーションキャプチャシステムViconについてご紹介できます。,,2026-04-11 05:00:03.903298+08:00
01KNWQJ3GKYH3FG2A1VWN4Y03V,,4a79fc98c23589c664e642a1fecacbea,AGENT,こんにちは！私は株式会社クレッセントのアシスタント、ゲッペイと申します。ライブ配信などで活用できるVolu☆ME!や、業界最高水準のモーションキャプチャシステムViconについてご紹介できます。,,2026-04-11 06:17:57.565307+08:00
01KNWQJ3GKYH3FG2A1VWN4Y03V,,4a79fc98c23589c664e642a1fecacbea,USER,I'm Athena,,2026-04-11 06:18:03.413274+08:00
01KNWQJ3GKYH3FG2A1VWN4Y03V,,4a79fc98c23589c664e642a1fecacbea,AGENT,"Athena様、はじめまして！お会いできて嬉しいです。

Volu☆ME! やViconの他に、2026年竣工予定の最新スタジオや、弊社の連携実績についてもご案内できます。何か特に興味をお持ちのものはございますか？",,2026-04-11 06:18:03.450385+08:00
01KNWSAXPTDV6HWG8FJJ71Z4A6,,24d9a58ab7b48a2ba446dd14c5c8a20f,AGENT,こんにちは！私、株式会社クレッセントのアシスタント、ゲッペイと申します。ライブ配信などで活用できるVolu☆ME!や、業界最高水準のモーションキャプチャシステムViconについてご紹介できます。,,2026-04-11 06:48:55.692530+08:00
01KNWV84DAMA0GCDW6DFYZG227,,235e3fa10121d51a12fddc9dde24aed8,AGENT,皆様、こんにちは。株式会社クレッセントのアシスタント、ゲッペイと申します。ライブ配信などで活用できるVolu☆ME!、そして業界最高水準のモーションキャプチャシステムViconについてご紹介できます。,,2026-04-11 07:22:20.899322+08:00
